Year,State,Value
2013,VIRGINIA,"24,250"
2012,CONNECTICUT, (D)
2012,GEORGIA,"10,000"
2012,KENTUCKY,"87,200"
2012,MASSACHUSETTS, (D)
2012,NORTH CAROLINA,"166,100"
2012,OHIO,"1,900"
2012,OTHER STATES,"2,465"
2012,PENNSYLVANIA,"9,600"
2012,SOUTH CAROLINA,"12,000"
2012,TENNESSEE,"23,900"
2012,VIRGINIA,"23,080"
2011,CONNECTICUT,"2,070"
2011,GEORGIA,"11,900"
2011,KENTUCKY,"77,500"
2011,MASSACHUSETTS,570
2011,NORTH CAROLINA,"162,300"
2011,OHIO,"1,600"
2011,OTHER STATES, (X)
2011,PENNSYLVANIA,"9,700"
2011,SOUTH CAROLINA,"15,500"
2011,TENNESSEE,"22,000"
2011,VIRGINIA,"21,900"
2010,CONNECTICUT,"2,600"
2010,GEORGIA,"11,400"
2010,KENTUCKY,"85,200"
2010,MASSACHUSETTS,950
2010,NORTH CAROLINA,"168,300"
2010,OHIO,"2,500"
2010,PENNSYLVANIA,"8,500"
2010,SOUTH CAROLINA,"16,000"
2010,TENNESSEE,"22,300"
2010,VIRGINIA,"19,750"
2009,CONNECTICUT,"1,900"
2009,GEORGIA,"13,800"
2009,KENTUCKY,"88,700"
2009,MASSACHUSETTS,390
2009,MISSOURI, (NA)
2009,NORTH CAROLINA,"177,400"
2009,OHIO,"3,400"
2009,PENNSYLVANIA,"8,200"
2009,SOUTH CAROLINA,"18,500"
2009,TENNESSEE,"21,600"
2009,VIRGINIA,"20,150"
2008,CONNECTICUT,"2,600"
2008,GEORGIA,"16,000"
2008,KENTUCKY,"87,800"
2008,MASSACHUSETTS,690
2008,MISSOURI,"1,500"
2008,NORTH CAROLINA,"174,300"
2008,OHIO,"3,400"
2008,PENNSYLVANIA,"7,900"
2008,SOUTH CAROLINA,"19,000"
2008,TENNESSEE,"21,800"
2008,VIRGINIA,"19,500"
2007,CONNECTICUT,"2,900"
2007,GEORGIA,"18,500"
2007,KENTUCKY,"89,200"
2007,MASSACHUSETTS,"1,320"
2007,MISSOURI,"1,600"
2007,NORTH CAROLINA,"170,000"
2007,OHIO,"3,500"
2007,PENNSYLVANIA,"7,900"
2007,SOUTH CAROLINA,"20,500"
2007,TENNESSEE,"19,980"
2007,VIRGINIA,"20,600"
2006,CONNECTICUT,"2,500"
2006,FLORIDA,"1,100"
2006,GEORGIA,"17,000"
2006,KENTUCKY,"83,000"
2006,MASSACHUSETTS,"1,150"
2006,MISSOURI,"1,500"
2006,NORTH CAROLINA,"158,900"
2006,OHIO,"3,500"
2006,PENNSYLVANIA,"7,900"
2006,SOUTH CAROLINA,"23,000"
2006,TENNESSEE,"19,800"
2006,VIRGINIA,"19,650"
2005,CONNECTICUT,"2,450"
2005,FLORIDA,"2,500"
2005,GEORGIA,"16,000"
2005,KENTUCKY,"79,700"
2005,MASSACHUSETTS,"1,190"
2005,MISSOURI,"1,350"
2005,NORTH CAROLINA,"126,000"
2005,OHIO,"3,400"
2005,PENNSYLVANIA,"5,000"
2005,SOUTH CAROLINA,"19,000"
2005,TENNESSEE,"22,950"
2005,VIRGINIA,"17,140"
2005,WEST VIRGINIA,400
2004,CONNECTICUT,"2,360"
2004,FLORIDA,"4,000"
2004,GEORGIA,"23,000"
2004,INDIANA,"4,200"
2004,KENTUCKY,"114,950"
2004,MARYLAND,"1,100"
2004,MASSACHUSETTS,"1,240"
2004,MISSOURI,"1,450"
2004,NORTH CAROLINA,"156,100"
2004,OHIO,"5,600"
2004,PENNSYLVANIA,"4,000"
2004,SOUTH CAROLINA,"27,000"
2004,TENNESSEE,"30,260"
2004,VIRGINIA,"29,680"
2004,WEST VIRGINIA,"1,300"
2004,WISCONSIN,"1,810"
2003,CONNECTICUT,"2,180"
2003,FLORIDA,"4,400"
2003,GEORGIA,"27,000"
2003,INDIANA,"4,200"
2003,KENTUCKY,"111,650"
2003,MARYLAND,"1,100"
2003,MASSACHUSETTS,"1,250"
2003,MISSOURI,"1,400"
2003,NORTH CAROLINA,"159,700"
2003,OHIO,"5,300"
2003,PENNSYLVANIA,"3,700"
2003,SOUTH CAROLINA,"30,000"
2003,TENNESSEE,"31,140"
2003,VIRGINIA,"25,110"
2003,WEST VIRGINIA,"1,200"
2003,WISCONSIN,"1,820"
2002,CONNECTICUT,"2,000"
2002,FLORIDA,"4,600"
2002,GEORGIA,"26,500"
2002,INDIANA,"4,000"
2002,KENTUCKY,"111,100"
2002,MARYLAND,"1,200"
2002,MASSACHUSETTS,"1,160"
2002,MISSOURI,"1,400"
2002,NORTH CAROLINA,"168,300"
2002,OHIO,"5,500"
2002,PENNSYLVANIA,"3,400"
2002,SOUTH CAROLINA,"30,500"
2002,TENNESSEE,"34,900"
2002,VIRGINIA,"30,000"
2002,WEST VIRGINIA,"1,300"
2002,WISCONSIN,"1,450"
2001,CONNECTICUT,"2,350"
2001,FLORIDA,"4,500"
2001,GEORGIA,"26,100"
2001,INDIANA,"4,200"
2001,KENTUCKY,"115,700"
2001,MARYLAND,"2,200"
2001,MASSACHUSETTS,"1,140"
2001,MISSOURI,"1,400"
2001,NORTH CAROLINA,"161,700"
2001,OHIO,"6,100"
2001,PENNSYLVANIA,"3,100"
2001,SOUTH CAROLINA,"32,000"
2001,TENNESSEE,"39,690"
2001,VIRGINIA,"29,500"
2001,WEST VIRGINIA,"1,300"
2001,WISCONSIN,"1,510"
2000,CONNECTICUT,"1,650"
2000,FLORIDA,"4,500"
2000,GEORGIA,"31,000"
2000,INDIANA,"3,800"
2000,KENTUCKY,"132,700"
2000,MARYLAND,"5,700"
2000,MASSACHUSETTS,510
2000,MISSOURI,"1,400"
2000,NORTH CAROLINA,"167,400"
2000,OHIO,"7,500"
2000,PENNSYLVANIA,"5,100"
2000,SOUTH CAROLINA,"34,000"
2000,TENNESSEE,"46,020"
2000,VIRGINIA,"25,900"
2000,WEST VIRGINIA,"1,300"
2000,WISCONSIN,940
1999,CONNECTICUT,"3,040"
1999,FLORIDA,"5,800"
1999,GEORGIA,"33,000"
1999,INDIANA,"6,500"
1999,KENTUCKY,"221,650"
1999,MARYLAND,"6,500"
1999,MASSACHUSETTS,"1,320"
1999,MISSOURI,"2,300"
1999,NORTH CAROLINA,"207,800"
1999,OHIO,"9,800"
1999,PENNSYLVANIA,"6,200"
1999,SOUTH CAROLINA,"39,000"
1999,TENNESSEE,"63,170"
1999,VIRGINIA,"38,300"
1999,WEST VIRGINIA,"1,600"
1999,WISCONSIN,"1,180"
1998,CONNECTICUT,"2,830"
1998,FLORIDA,"6,800"
1998,GEORGIA,"41,000"
1998,INDIANA,"8,500"
1998,KENTUCKY,"226,260"
1998,MARYLAND,"6,500"
1998,MASSACHUSETTS,"1,265"
1998,MISSOURI,"2,700"
1998,NORTH CAROLINA,"251,100"
1998,OHIO,"9,800"
1998,PENNSYLVANIA,"7,800"
1998,SOUTH CAROLINA,"45,000"
1998,TENNESSEE,"59,415"
1998,VIRGINIA,"45,000"
1998,WEST VIRGINIA,"1,600"
1998,WISCONSIN,"2,050"
1997,CONNECTICUT,"2,545"
1997,FLORIDA,"7,300"
1997,GEORGIA,"43,000"
1997,INDIANA,"8,900"
1997,KENTUCKY,"250,500"
1997,MARYLAND,"8,000"
1997,MASSACHUSETTS,"1,175"
1997,MISSOURI,"3,000"
1997,NORTH CAROLINA,"321,400"
1997,OHIO,"11,400"
1997,PENNSYLVANIA,"8,100"
1997,SOUTH CAROLINA,"54,000"
1997,TENNESSEE,"59,480"
1997,VIRGINIA,"53,080"
1997,WEST VIRGINIA,"1,800"
1997,WISCONSIN,"2,550"
1996,CONNECTICUT,"2,260"
1996,FLORIDA,"7,500"
1996,GEORGIA,"46,000"
1996,INDIANA,"7,600"
1996,KENTUCKY,"195,700"
1996,MARYLAND,"8,000"
1996,MASSACHUSETTS,800
1996,MISSOURI,"2,700"
1996,NORTH CAROLINA,"287,800"
1996,OHIO,"8,000"
1996,PENNSYLVANIA,"8,200"
1996,SOUTH CAROLINA,"51,000"
1996,TENNESSEE,"54,560"
1996,VIRGINIA,"48,370"
1996,WEST VIRGINIA,"1,700"
1996,WISCONSIN,"2,870"
1995,CONNECTICUT,"1,990"
1995,FLORIDA,"7,200"
1995,GEORGIA,"42,000"
1995,INDIANA,"6,700"
1995,KENTUCKY,"166,200"
1995,MARYLAND,"8,500"
1995,MASSACHUSETTS,515
1995,MISSOURI,"2,700"
1995,NORTH CAROLINA,"261,100"
1995,OHIO,"7,700"
1995,PENNSYLVANIA,"8,300"
1995,SOUTH CAROLINA,"50,000"
1995,TENNESSEE,"51,690"
1995,VIRGINIA,"44,170"
1995,WEST VIRGINIA,"2,000"
1995,WISCONSIN,"2,760"
1994,CONNECTICUT,"1,655"
1994,FLORIDA,"6,500"
1994,GEORGIA,"37,000"
1994,INDIANA,"7,100"
1994,KENTUCKY,"187,000"
1994,MARYLAND,"8,500"
1994,MASSACHUSETTS,490
1994,MISSOURI,"3,500"
1994,NORTH CAROLINA,"243,200"
1994,OHIO,"8,500"
1994,PENNSYLVANIA,"9,000"
1994,SOUTH CAROLINA,"47,000"
1994,TENNESSEE,"60,350"
1994,VIRGINIA,"46,420"
1994,WEST VIRGINIA,"2,000"
1994,WISCONSIN,"2,850"
1993,CONNECTICUT,"1,545"
1993,FLORIDA,"7,100"
1993,GEORGIA,"43,000"
1993,INDIANA,"8,100"
1993,KENTUCKY,"207,300"
1993,MARYLAND,"9,500"
1993,MASSACHUSETTS,420
1993,MISSOURI,"2,800"
1993,NORTH CAROLINA,"271,000"
1993,OHIO,"9,000"
1993,PENNSYLVANIA,"9,000"
1993,SOUTH CAROLINA,"52,000"
1993,TENNESSEE,"69,940"
1993,VIRGINIA,"49,100"
1993,WEST VIRGINIA,"2,000"
1993,WISCONSIN,"4,600"
1992,CONNECTICUT,"1,370"
1992,FLORIDA,"7,500"
1992,GEORGIA,"44,000"
1992,INDIANA,"9,000"
1992,KENTUCKY,"234,700"
1992,MARYLAND,"9,700"
1992,MASSACHUSETTS,470
1992,MISSOURI,"1,700"
1992,NORTH CAROLINA,"270,200"
1992,OHIO,"10,400"
1992,PENNSYLVANIA,"10,800"
1992,SOUTH CAROLINA,"52,000"
1992,TENNESSEE,"72,200"
1992,VIRGINIA,"51,100"
1992,WEST VIRGINIA,"2,100"
1992,WISCONSIN,"7,200"
1991,CONNECTICUT,"1,750"
1991,FLORIDA,"6,600"
1991,GEORGIA,"40,000"
1991,INDIANA,"8,800"
1991,KENTUCKY,"223,100"
1991,MARYLAND,"8,600"
1991,MASSACHUSETTS,500
1991,MISSOURI,"3,000"
1991,NORTH CAROLINA,"275,000"
1991,OHIO,"10,400"
1991,PENNSYLVANIA,"10,500"
1991,SOUTH CAROLINA,"51,000"
1991,TENNESSEE,"61,730"
1991,VIRGINIA,"53,500"
1991,WEST VIRGINIA,"1,900"
1991,WISCONSIN,"7,300"
1990,CONNECTICUT,"1,820"
1990,FLORIDA,"6,900"
1990,GEORGIA,"43,000"
1990,INDIANA,"7,000"
1990,KENTUCKY,"194,150"
1990,MARYLAND,"7,100"
1990,MASSACHUSETTS,470
1990,MISSOURI,"2,600"
1990,NORTH CAROLINA,"284,200"
1990,OHIO,"9,700"
1990,PENNSYLVANIA,"10,000"
1990,SOUTH CAROLINA,"51,000"
1990,TENNESSEE,"53,590"
1990,VIRGINIA,"53,180"
1990,WEST VIRGINIA,"1,700"
1990,WISCONSIN,"6,900"
