Year,State,OatAcres
2016,TEXAS,470000
2016,WASHINGTON,18000
2016,WISCONSIN,210000
2016,WYOMING,23000
2015,ALABAMA,55000
2015,ALASKA,1800
2015,ARKANSAS,11000
2015,CALIFORNIA,120000
2015,COLORADO,45000
2015,GEORGIA,65000
2015,IDAHO,75000
2015,ILLINOIS,40000
2015,INDIANA,15000
2015,IOWA,125000
2015,KANSAS,95000
2015,MAINE,30000
2015,MICHIGAN,75000
2015,MINNESOTA,280000
2015,MISSOURI,30000
2015,MONTANA,50000
2015,NEBRASKA,135000
2015,NEW YORK,70000
2015,NORTH CAROLINA,35000
2015,NORTH DAKOTA,275000
2015,OHIO,70000
2015,OKLAHOMA,40000
2015,OREGON,35000
2015,PENNSYLVANIA,95000
2015,SOUTH CAROLINA,24000
2015,SOUTH DAKOTA,325000
2015,TEXAS,520000
2015,UTAH,20000
2015,VIRGINIA,12000
2015,WASHINGTON,18000
2015,WISCONSIN,280000
2015,WYOMING,23000
2014,ALABAMA,50000
2014,ALASKA,2200
2014,ARKANSAS,12000
2014,CALIFORNIA,120000
2014,COLORADO,45000
2014,GEORGIA,60000
2014,IDAHO,70000
2014,ILLINOIS,35000
2014,INDIANA,20000
2014,IOWA,145000
2014,KANSAS,85000
2014,MAINE,32000
2014,MICHIGAN,55000
2014,MINNESOTA,230000
2014,MISSOURI,25000
2014,MONTANA,45000
2014,NEBRASKA,110000
2014,NEW YORK,55000
2014,NORTH CAROLINA,33000
2014,NORTH DAKOTA,235000
2014,OHIO,50000
2014,OKLAHOMA,60000
2014,OREGON,30000
2014,PENNSYLVANIA,90000
2014,SOUTH CAROLINA,21000
2014,SOUTH DAKOTA,250000
2014,TEXAS,450000
2014,UTAH,20000
2014,VIRGINIA,10000
2014,WASHINGTON,25000
2014,WISCONSIN,255000
2014,WYOMING,30000
2013,ALABAMA,60000
2013,ALASKA,1300
2013,ARKANSAS,11000
2013,CALIFORNIA,150000
2013,COLORADO,55000
2013,GEORGIA,50000
2013,IDAHO,70000
2013,ILLINOIS,40000
2013,INDIANA,20000
2013,IOWA,220000
2013,KANSAS,100000
2013,MAINE,28000
2013,MICHIGAN,50000
2013,MINNESOTA,240000
2013,MISSOURI,30000
2013,MONTANA,50000
2013,NEBRASKA,150000
2013,NEW YORK,75000
2013,NORTH CAROLINA,35000
2013,NORTH DAKOTA,225000
2013,OHIO,50000
2013,OKLAHOMA,60000
2013,OREGON,30000
2013,PENNSYLVANIA,95000
2013,SOUTH CAROLINA,20000
2013,SOUTH DAKOTA,260000
2013,TEXAS,450000
2013,UTAH,40000
2013,VIRGINIA,10000
2013,WASHINGTON,20000
2013,WISCONSIN,255000
2013,WYOMING,31000
2012,ALABAMA,60000
2012,ALASKA,2400
2012,ARKANSAS,12000
2012,CALIFORNIA,180000
2012,COLORADO,55000
2012,GEORGIA,60000
2012,IDAHO,60000
2012,ILLINOIS,30000
2012,INDIANA,15000
2012,IOWA,130000
2012,KANSAS,105000
2012,MAINE,29000
2012,MICHIGAN,50000
2012,MINNESOTA,190000
2012,MISSOURI,20000
2012,MONTANA,45000
2012,NEBRASKA,75000
2012,NEW YORK,70000
2012,NORTH CAROLINA,40000
2012,NORTH DAKOTA,200000
2012,OHIO,70000
2012,OKLAHOMA,75000
2012,OREGON,35000
2012,PENNSYLVANIA,100000
2012,SOUTH CAROLINA,28000
2012,SOUTH DAKOTA,160000
2012,TEXAS,500000
2012,UTAH,30000
2012,VIRGINIA,11000
2012,WASHINGTON,15000
2012,WISCONSIN,220000
2012,WYOMING,30000
2011,ALABAMA,40000
2011,ALASKA,2100
2011,ARKANSAS,15000
2011,CALIFORNIA,180000
2011,COLORADO,40000
2011,GEORGIA,45000
2011,IDAHO,60000
2011,ILLINOIS,30000
2011,INDIANA,15000
2011,IOWA,120000
2011,KANSAS,55000
2011,MAINE,28000
2011,MICHIGAN,40000
2011,MINNESOTA,180000
2011,MISSOURI,15000
2011,MONTANA,40000
2011,NEBRASKA,60000
2011,NEW YORK,45000
2011,NORTH CAROLINA,45000
2011,NORTH DAKOTA,170000
2011,OHIO,40000
2011,OKLAHOMA,30000
2011,OREGON,35000
2011,PENNSYLVANIA,90000
2011,SOUTH CAROLINA,22000
2011,SOUTH DAKOTA,115000
2011,TEXAS,500000
2011,UTAH,33000
2011,VIRGINIA,11000
2011,WASHINGTON,10000
2011,WISCONSIN,210000
2011,WYOMING,30000
2010,ALABAMA,35000
2010,ALASKA,1900
2010,ARKANSAS,10000
2010,CALIFORNIA,210000
2010,COLORADO,55000
2010,GEORGIA,50000
2010,IDAHO,70000
2010,ILLINOIS,45000
2010,INDIANA,20000
2010,IOWA,180000
2010,KANSAS,65000
2010,MAINE,31000
2010,MICHIGAN,75000
2010,MINNESOTA,260000
2010,MISSOURI,20000
2010,MONTANA,65000
2010,NEBRASKA,90000
2010,NEW YORK,80000
2010,NORTH CAROLINA,35000
2010,NORTH DAKOTA,280000
2010,OHIO,65000
2010,OKLAHOMA,45000
2010,OREGON,45000
2010,PENNSYLVANIA,110000
2010,SOUTH CAROLINA,26000
2010,SOUTH DAKOTA,180000
2010,TEXAS,550000
2010,UTAH,40000
2010,VIRGINIA,12000
2010,WASHINGTON,20000
2010,WISCONSIN,310000
2010,WYOMING,34000
2009,ALABAMA,50000
2009,ALASKA,1700
2009,ARKANSAS,10000
2009,CALIFORNIA,250000
2009,COLORADO,60000
2009,GEORGIA,60000
2009,IDAHO,80000
2009,ILLINOIS,40000
2009,INDIANA,15000
2009,IOWA,200000
2009,KANSAS,85000
2009,MAINE,32000
2009,MICHIGAN,70000
2009,MINNESOTA,250000
2009,MISSOURI,15000
2009,MONTANA,70000
2009,NEBRASKA,100000
2009,NEW YORK,90000
2009,NORTH CAROLINA,50000
2009,NORTH DAKOTA,350000
2009,OHIO,65000
2009,OKLAHOMA,45000
2009,OREGON,45000
2009,PENNSYLVANIA,110000
2009,SOUTH CAROLINA,30000
2009,SOUTH DAKOTA,200000
2009,TEXAS,550000
2009,UTAH,45000
2009,VIRGINIA,12000
2009,WASHINGTON,20000
2009,WISCONSIN,310000
2009,WYOMING,40000
2008,ALABAMA,50000
2008,ALASKA,1700
2008,CALIFORNIA,260000
2008,COLORADO,45000
2008,GEORGIA,70000
2008,IDAHO,70000
2008,ILLINOIS,45000
2008,INDIANA,15000
2008,IOWA,150000
2008,KANSAS,60000
2008,MAINE,32000
2008,MICHIGAN,75000
2008,MINNESOTA,250000
2008,MISSOURI,15000
2008,MONTANA,60000
2008,NEBRASKA,95000
2008,NEW YORK,80000
2008,NORTH CAROLINA,65000
2008,NORTH DAKOTA,320000
2008,OHIO,75000
2008,OKLAHOMA,50000
2008,OREGON,45000
2008,PENNSYLVANIA,105000
2008,SOUTH CAROLINA,33000
2008,SOUTH DAKOTA,220000
2008,TEXAS,600000
2008,UTAH,40000
2008,VIRGINIA,15000
2008,WASHINGTON,20000
2008,WISCONSIN,270000
2008,WYOMING,30000
2007,ALABAMA,45000
2007,ALASKA,1900
2007,CALIFORNIA,215000
2007,COLORADO,75000
2007,GEORGIA,70000
2007,IDAHO,70000
2007,ILLINOIS,35000
2007,INDIANA,25000
2007,IOWA,145000
2007,KANSAS,90000
2007,MAINE,29000
2007,MICHIGAN,70000
2007,MINNESOTA,270000
2007,MISSOURI,25000
2007,MONTANA,75000
2007,NEBRASKA,120000
2007,NEW YORK,100000
2007,NORTH CAROLINA,50000
2007,NORTH DAKOTA,460000
2007,OHIO,75000
2007,OKLAHOMA,80000
2007,OREGON,60000
2007,PENNSYLVANIA,115000
2007,SOUTH CAROLINA,33000
2007,SOUTH DAKOTA,330000
2007,TEXAS,710000
2007,UTAH,35000
2007,VIRGINIA,16000
2007,WASHINGTON,30000
2007,WISCONSIN,270000
2007,WYOMING,40000
2006,ALABAMA,50000
2006,ALASKA,2000
2006,CALIFORNIA,270000
2006,COLORADO,85000
2006,GEORGIA,70000
2006,IDAHO,90000
2006,ILLINOIS,60000
2006,INDIANA,25000
2006,IOWA,210000
2006,KANSAS,100000
2006,MAINE,29000
2006,MICHIGAN,80000
2006,MINNESOTA,290000
2006,MISSOURI,40000
2006,MONTANA,70000
2006,NEBRASKA,160000
2006,NEW YORK,85000
2006,NORTH CAROLINA,60000
2006,NORTH DAKOTA,420000
2006,OHIO,70000
2006,OKLAHOMA,35000
2006,OREGON,50000
2006,PENNSYLVANIA,135000
2006,SOUTH CAROLINA,33000
2006,SOUTH DAKOTA,380000
2006,TEXAS,760000
2006,UTAH,45000
2006,VIRGINIA,16000
2006,WASHINGTON,30000
2006,WISCONSIN,370000
2006,WYOMING,48000
2005,ALABAMA,50000
2005,ALASKA,2100
2005,CALIFORNIA,270000
2005,COLORADO,75000
2005,GEORGIA,75000
2005,IDAHO,90000
2005,ILLINOIS,60000
2005,INDIANA,20000
2005,IOWA,210000
2005,KANSAS,100000
2005,MAINE,32000
2005,MICHIGAN,90000
2005,MINNESOTA,310000
2005,MISSOURI,35000
2005,MONTANA,90000
2005,NEBRASKA,150000
2005,NEW YORK,95000
2005,NORTH CAROLINA,50000
2005,NORTH DAKOTA,490000
2005,OHIO,80000
2005,OKLAHOMA,45000
2005,OREGON,40000
2005,PENNSYLVANIA,140000
2005,SOUTH CAROLINA,35000
2005,SOUTH DAKOTA,380000
2005,TEXAS,690000
2005,UTAH,50000
2005,VIRGINIA,14000
2005,WASHINGTON,25000
2005,WISCONSIN,400000
2005,WYOMING,55000
2004,ALASKA,2200
2004,CALIFORNIA,240000
2004,COLORADO,75000
2004,GEORGIA,90000
2004,IDAHO,90000
2004,ILLINOIS,55000
2004,INDIANA,25000
2004,IOWA,220000
2004,KANSAS,120000
2004,MAINE,34000
2004,MICHIGAN,80000
2004,MINNESOTA,310000
2004,MISSOURI,26000
2004,MONTANA,105000
2004,NEBRASKA,140000
2004,NEW YORK,65000
2004,NORTH CAROLINA,55000
2004,NORTH DAKOTA,490000
2004,OHIO,65000
2004,OKLAHOMA,50000
2004,OREGON,50000
2004,PENNSYLVANIA,130000
2004,SOUTH CAROLINA,40000
2004,SOUTH DAKOTA,380000
2004,TEXAS,680000
2004,UTAH,60000
2004,WASHINGTON,20000
2004,WISCONSIN,340000
2004,WYOMING,50000
2003,ALASKA,2700
2003,CALIFORNIA,260000
2003,COLORADO,100000
2003,GEORGIA,100000
2003,IDAHO,120000
2003,ILLINOIS,60000
2003,INDIANA,25000
2003,IOWA,220000
2003,KANSAS,140000
2003,MAINE,27000
2003,MICHIGAN,90000
2003,MINNESOTA,350000
2003,MISSOURI,30000
2003,MONTANA,120000
2003,NEBRASKA,220000
2003,NEW YORK,85000
2003,NORTH CAROLINA,55000
2003,NORTH DAKOTA,620000
2003,OHIO,80000
2003,OKLAHOMA,70000
2003,OREGON,60000
2003,PENNSYLVANIA,140000
2003,SOUTH CAROLINA,40000
2003,SOUTH DAKOTA,420000
2003,TEXAS,625000
2003,UTAH,65000
2003,WASHINGTON,35000
2003,WISCONSIN,380000
2003,WYOMING,60000
2002,ALASKA,3000
2002,CALIFORNIA,260000
2002,COLORADO,65000
2002,GEORGIA,90000
2002,IDAHO,125000
2002,ILLINOIS,65000
2002,INDIANA,20000
2002,IOWA,290000
2002,KANSAS,140000
2002,MAINE,28000
2002,MICHIGAN,80000
2002,MINNESOTA,420000
2002,MISSOURI,65000
2002,MONTANA,135000
2002,NEBRASKA,175000
2002,NEW YORK,75000
2002,NORTH CAROLINA,65000
2002,NORTH DAKOTA,670000
2002,OHIO,70000
2002,OKLAHOMA,85000
2002,OREGON,70000
2002,PENNSYLVANIA,140000
2002,SOUTH CAROLINA,50000
2002,SOUTH DAKOTA,470000
2002,TEXAS,750000
2002,UTAH,60000
2002,WASHINGTON,32000
2002,WISCONSIN,430000
2002,WYOMING,70000
2001,ALASKA,4000
2001,CALIFORNIA,260000
2001,COLORADO,80000
2001,GEORGIA,100000
2001,IDAHO,130000
2001,ILLINOIS,60000
2001,INDIANA,25000
2001,IOWA,240000
2001,KANSAS,100000
2001,MAINE,31000
2001,MICHIGAN,70000
2001,MINNESOTA,300000
2001,MISSOURI,40000
2001,MONTANA,130000
2001,NEBRASKA,155000
2001,NEW YORK,95000
2001,NORTH CAROLINA,60000
2001,NORTH DAKOTA,575000
2001,OHIO,100000
2001,OKLAHOMA,55000
2001,OREGON,55000
2001,PENNSYLVANIA,150000
2001,SOUTH CAROLINA,50000
2001,SOUTH DAKOTA,350000
2001,TEXAS,725000
2001,UTAH,60000
2001,WASHINGTON,30000
2001,WISCONSIN,300000
2001,WYOMING,75000
2000,ALASKA,2500
2000,CALIFORNIA,220000
2000,COLORADO,80000
2000,GEORGIA,70000
2000,IDAHO,80000
2000,ILLINOIS,75000
2000,INDIANA,40000
2000,IOWA,270000
2000,KANSAS,110000
2000,MAINE,28000
2000,MICHIGAN,95000
2000,MINNESOTA,400000
2000,MISSOURI,50000
2000,MONTANA,130000
2000,NEBRASKA,130000
2000,NEW YORK,80000
2000,NORTH CAROLINA,60000
2000,NORTH DAKOTA,600000
2000,OHIO,110000
2000,OKLAHOMA,60000
2000,OREGON,50000
2000,PENNSYLVANIA,175000
2000,SOUTH CAROLINA,60000
2000,SOUTH DAKOTA,350000
2000,TEXAS,600000
2000,UTAH,50000
2000,WASHINGTON,35000
2000,WISCONSIN,400000
2000,WYOMING,65000
1999,ALABAMA,40000
1999,ALASKA,3400
1999,ARKANSAS,13000
1999,CALIFORNIA,275000
1999,COLORADO,50000
1999,GEORGIA,60000
1999,IDAHO,80000
1999,ILLINOIS,75000
1999,INDIANA,40000
1999,IOWA,250000
1999,KANSAS,120000
1999,MAINE,30000
1999,MARYLAND,8000
1999,MICHIGAN,100000
1999,MINNESOTA,360000
1999,MISSOURI,35000
1999,MONTANA,170000
1999,NEBRASKA,135000
1999,NEW YORK,100000
1999,NORTH CAROLINA,55000
1999,NORTH DAKOTA,650000
1999,OHIO,120000
1999,OKLAHOMA,75000
1999,OREGON,40000
1999,PENNSYLVANIA,170000
1999,SOUTH CAROLINA,55000
1999,SOUTH DAKOTA,320000
1999,TEXAS,670000
1999,UTAH,45000
1999,WASHINGTON,30000
1999,WEST VIRGINIA,7000
1999,WISCONSIN,430000
1999,WYOMING,60000
1998,ALABAMA,35000
1998,ALASKA,3500
1998,ARKANSAS,10000
1998,CALIFORNIA,320000
1998,COLORADO,90000
1998,GEORGIA,50000
1998,IDAHO,80000
1998,ILLINOIS,85000
1998,INDIANA,50000
1998,IOWA,280000
1998,KANSAS,110000
1998,MAINE,24000
1998,MARYLAND,9000
1998,MICHIGAN,110000
1998,MINNESOTA,350000
1998,MISSOURI,22000
1998,MONTANA,140000
1998,NEBRASKA,170000
1998,NEW YORK,115000
1998,NORTH CAROLINA,40000
1998,NORTH DAKOTA,730000
1998,OHIO,120000
1998,OKLAHOMA,60000
1998,OREGON,65000
1998,PENNSYLVANIA,190000
1998,SOUTH CAROLINA,40000
1998,SOUTH DAKOTA,420000
1998,TEXAS,600000
1998,UTAH,50000
1998,WASHINGTON,30000
1998,WEST VIRGINIA,6000
1998,WISCONSIN,430000
1998,WYOMING,60000
1997,ALABAMA,35000
1997,ALASKA,3300
1997,ARKANSAS,12000
1997,CALIFORNIA,350000
1997,COLORADO,70000
1997,GEORGIA,65000
1997,IDAHO,80000
1997,ILLINOIS,100000
1997,INDIANA,60000
1997,IOWA,330000
1997,KANSAS,130000
1997,MAINE,26000
1997,MARYLAND,9000
1997,MICHIGAN,95000
1997,MINNESOTA,400000
1997,MISSOURI,40000
1997,MONTANA,140000
1997,NEBRASKA,160000
1997,NEW YORK,100000
1997,NORTH CAROLINA,55000
1997,NORTH DAKOTA,700000
1997,OHIO,120000
1997,OKLAHOMA,75000
1997,OREGON,80000
1997,PENNSYLVANIA,185000
1997,SOUTH CAROLINA,50000
1997,SOUTH DAKOTA,380000
1997,TEXAS,550000
1997,UTAH,50000
1997,WASHINGTON,35000
1997,WEST VIRGINIA,6000
1997,WISCONSIN,510000
1997,WYOMING,70000
1996,ALABAMA,35000
1996,ALASKA,2300
1996,ARKANSAS,17000
1996,CALIFORNIA,300000
1996,COLORADO,80000
1996,GEORGIA,60000
1996,IDAHO,60000
1996,ILLINOIS,90000
1996,INDIANA,40000
1996,IOWA,285000
1996,KANSAS,130000
1996,MAINE,31000
1996,MARYLAND,9000
1996,MICHIGAN,70000
1996,MINNESOTA,320000
1996,MISSOURI,52000
1996,MONTANA,110000
1996,NEBRASKA,165000
1996,NEW YORK,85000
1996,NORTH CAROLINA,50000
1996,NORTH DAKOTA,530000
1996,OHIO,120000
1996,OKLAHOMA,50000
1996,OREGON,80000
1996,PENNSYLVANIA,160000
1996,SOUTH CAROLINA,50000
1996,SOUTH DAKOTA,450000
1996,TEXAS,650000
1996,UTAH,45000
1996,WASHINGTON,28000
1996,WEST VIRGINIA,6000
1996,WISCONSIN,430000
1996,WYOMING,50000
1995,ALABAMA,50000
1995,ALASKA,2600
1995,ARKANSAS,10000
1995,CALIFORNIA,350000
1995,COLORADO,95000
1995,GEORGIA,75000
1995,IDAHO,90000
1995,ILLINOIS,500000
1995,INDIANA,90000
1995,IOWA,650000
1995,KANSAS,130000
1995,MAINE,29000
1995,MARYLAND,8000
1995,MICHIGAN,110000
1995,MINNESOTA,625000
1995,MISSOURI,45000
1995,MONTANA,145000
1995,NEBRASKA,155000
1995,NEW YORK,110000
1995,NORTH CAROLINA,60000
1995,NORTH DAKOTA,650000
1995,OHIO,120000
1995,OKLAHOMA,60000
1995,OREGON,75000
1995,PENNSYLVANIA,190000
1995,SOUTH CAROLINA,55000
1995,SOUTH DAKOTA,350000
1995,TEXAS,650000
1995,UTAH,50000
1995,WASHINGTON,32000
1995,WEST VIRGINIA,8000
1995,WISCONSIN,590000
1995,WYOMING,68000
1994,ALABAMA,65000
1994,ALASKA,2300
1994,ARKANSAS,25000
1994,CALIFORNIA,310000
1994,COLORADO,75000
1994,GEORGIA,80000
1994,IDAHO,70000
1994,ILLINOIS,110000
1994,INDIANA,75000
1994,IOWA,600000
1994,KANSAS,160000
1994,MAINE,25000
1994,MARYLAND,8000
1994,MICHIGAN,140000
1994,MINNESOTA,575000
1994,MISSOURI,55000
1994,MONTANA,140000
1994,NEBRASKA,240000
1994,NEW YORK,130000
1994,NORTH CAROLINA,85000
1994,NORTH DAKOTA,860000
1994,OHIO,150000
1994,OKLAHOMA,80000
1994,OREGON,75000
1994,PENNSYLVANIA,190000
1994,SOUTH CAROLINA,65000
1994,SOUTH DAKOTA,750000
1994,TEXAS,650000
1994,UTAH,40000
1994,WASHINGTON,45000
1994,WEST VIRGINIA,9000
1994,WISCONSIN,700000
1994,WYOMING,55000
1993,ALABAMA,60000
1993,ALASKA,2000
1993,ARKANSAS,35000
1993,CALIFORNIA,300000
1993,COLORADO,80000
1993,GEORGIA,75000
1993,IDAHO,70000
1993,ILLINOIS,550000
1993,INDIANA,130000
1993,IOWA,950000
1993,KANSAS,70000
1993,MAINE,33000
1993,MARYLAND,10000
1993,MICHIGAN,150000
1993,MINNESOTA,850000
1993,MISSOURI,35000
1993,MONTANA,140000
1993,NEBRASKA,270000
1993,NEW YORK,135000
1993,NORTH CAROLINA,60000
1993,NORTH DAKOTA,800000
1993,OHIO,200000
1993,OKLAHOMA,80000
1993,OREGON,65000
1993,PENNSYLVANIA,220000
1993,SOUTH CAROLINA,50000
1993,SOUTH DAKOTA,750000
1993,TEXAS,800000
1993,UTAH,50000
1993,WASHINGTON,65000
1993,WEST VIRGINIA,9000
1993,WISCONSIN,790000
1993,WYOMING,55000
1992,ALABAMA,50000
1992,ARKANSAS,25000
1992,CALIFORNIA,380000
1992,COLORADO,80000
1992,GEORGIA,80000
1992,IDAHO,60000
1992,ILLINOIS,400000
1992,INDIANA,100000
1992,IOWA,850000
1992,KANSAS,200000
1992,MAINE,27000
1992,MARYLAND,13000
1992,MICHIGAN,140000
1992,MINNESOTA,700000
1992,MISSOURI,90000
1992,MONTANA,165000
1992,NEBRASKA,330000
1992,NEW YORK,140000
1992,NORTH CAROLINA,90000
1992,NORTH DAKOTA,780000
1992,OHIO,220000
1992,OKLAHOMA,110000
1992,OREGON,65000
1992,PENNSYLVANIA,220000
1992,SOUTH CAROLINA,58000
1992,SOUTH DAKOTA,900000
1992,TEXAS,700000
1992,UTAH,45000
1992,WASHINGTON,65000
1992,WEST VIRGINIA,10000
1992,WISCONSIN,795000
1992,WYOMING,55000
1991,ALABAMA,55000
1991,ARKANSAS,50000
1991,CALIFORNIA,380000
1991,COLORADO,88000
1991,GEORGIA,95000
1991,IDAHO,80000
1991,ILLINOIS,450000
1991,INDIANA,100000
1991,IOWA,800000
1991,KANSAS,160000
1991,MAINE,31000
1991,MARYLAND,16000
1991,MICHIGAN,150000
1991,MINNESOTA,750000
1991,MISSOURI,65000
1991,MONTANA,200000
1991,NEBRASKA,340000
1991,NEW YORK,130000
1991,NORTH CAROLINA,85000
1991,NORTH DAKOTA,950000
1991,OHIO,200000
1991,OKLAHOMA,80000
1991,OREGON,80000
1991,PENNSYLVANIA,250000
1991,SOUTH CAROLINA,68000
1991,SOUTH DAKOTA,950000
1991,TEXAS,1100000
1991,UTAH,50000
1991,WASHINGTON,85000
1991,WEST VIRGINIA,10000
1991,WISCONSIN,750000
1991,WYOMING,55000
1990,ALABAMA,45000
1990,ARKANSAS,55000
1990,CALIFORNIA,380000
1990,COLORADO,90000
1990,GEORGIA,65000
1990,IDAHO,60000
1990,ILLINOIS,600000
1990,INDIANA,140000
1990,IOWA,1300000
1990,KANSAS,160000
1990,MAINE,36000
1990,MARYLAND,22000
1990,MICHIGAN,250000
1990,MINNESOTA,1100000
1990,MISSOURI,60000
1990,MONTANA,160000
1990,NEBRASKA,450000
1990,NEW YORK,160000
1990,NORTH CAROLINA,80000
1990,NORTH DAKOTA,1000000
1990,OHIO,270000
1990,OKLAHOMA,100000
1990,OREGON,70000
1990,PENNSYLVANIA,270000
1990,SOUTH CAROLINA,60000
1990,SOUTH DAKOTA,1250000
1990,TEXAS,1100000
1990,UTAH,40000
1990,WASHINGTON,80000
1990,WEST VIRGINIA,10000
1990,WISCONSIN,900000
1990,WYOMING,60000
