Year,State,DryBeanAcres
2012,TEXAS,22000
2012,WASHINGTON,115000
2012,WISCONSIN,5200
2012,WYOMING,45000
2011,ARIZONA,8500
2011,CALIFORNIA,57500
2011,COLORADO,38000
2011,IDAHO,95000
2011,KANSAS,6500
2011,MICHIGAN,170000
2011,MINNESOTA,140000
2011,MONTANA,15000
2011,NEBRASKA,110000
2011,NEW MEXICO,12500
2011,NEW YORK,12000
2011,NORTH DAKOTA,410000
2011,OREGON,6400
2011,SOUTH DAKOTA,10200
2011,TEXAS,9000
2011,WASHINGTON,77000
2011,WISCONSIN,5300
2011,WYOMING,35000
2010,ARIZONA,13000
2010,CALIFORNIA,63500
2010,COLORADO,70000
2010,IDAHO,135000
2010,KANSAS,9500
2010,MICHIGAN,236000
2010,MINNESOTA,185000
2010,MONTANA,18800
2010,NEBRASKA,170000
2010,NEW MEXICO,13800
2010,NEW YORK,15000
2010,NORTH DAKOTA,800000
2010,OREGON,7100
2010,SOUTH DAKOTA,12500
2010,TEXAS,21000
2010,WASHINGTON,86000
2010,WISCONSIN,6200
2010,WYOMING,49000
2009,ARIZONA,15500
2009,CALIFORNIA,71000
2009,COLORADO,57000
2009,IDAHO,100000
2009,KANSAS,8500
2009,MICHIGAN,200000
2009,MINNESOTA,150000
2009,MONTANA,11900
2009,NEBRASKA,130000
2009,NEW MEXICO,12500
2009,NEW YORK,16000
2009,NORTH DAKOTA,610000
2009,OREGON,6400
2009,SOUTH DAKOTA,10300
2009,TEXAS,37000
2009,UTAH, (NA)
2009,WASHINGTON,60000
2009,WISCONSIN,6400
2009,WYOMING,37500
2008,CALIFORNIA,52000
2008,COLORADO,48000
2008,IDAHO,80000
2008,KANSAS,6000
2008,MICHIGAN,200000
2008,MINNESOTA,150000
2008,MONTANA,11200
2008,NEBRASKA,135000
2008,NEW MEXICO,9300
2008,NEW YORK,17000
2008,NORTH DAKOTA,660000
2008,OREGON,4800
2008,SOUTH DAKOTA,8500
2008,TEXAS,24000
2008,UTAH,1200
2008,WASHINGTON,50000
2008,WISCONSIN,6500
2008,WYOMING,31500
2007,CALIFORNIA,59000
2007,COLORADO,48000
2007,IDAHO,90000
2007,KANSAS,6500
2007,MICHIGAN,200000
2007,MINNESOTA,150000
2007,MONTANA,18300
2007,NEBRASKA,110000
2007,NEW MEXICO,8300
2007,NEW YORK,17000
2007,NORTH DAKOTA,690000
2007,OREGON,7700
2007,SOUTH DAKOTA,13000
2007,TEXAS,17000
2007,UTAH,1500
2007,WASHINGTON,60000
2007,WISCONSIN,6100
2007,WYOMING,25000
2006,CALIFORNIA,67000
2006,COLORADO,63000
2006,IDAHO,105000
2006,KANSAS,11000
2006,MICHIGAN,225000
2006,MINNESOTA,145000
2006,MONTANA,19500
2006,NEBRASKA,140000
2006,NEW MEXICO,8200
2006,NEW YORK,19000
2006,NORTH DAKOTA,670000
2006,OREGON,10000
2006,SOUTH DAKOTA,21500
2006,TEXAS,20000
2006,UTAH,3000
2006,WASHINGTON,61000
2006,WISCONSIN,5600
2006,WYOMING,29000
2005,CALIFORNIA,66000
2005,COLORADO,83000
2005,IDAHO,100000
2005,KANSAS,13000
2005,MICHIGAN,235000
2005,MINNESOTA,145000
2005,MONTANA,18000
2005,NEBRASKA,175000
2005,NEW MEXICO,6300
2005,NEW YORK,25000
2005,NORTH DAKOTA,620000
2005,OREGON,9000
2005,SOUTH DAKOTA,17500
2005,TEXAS,17000
2005,UTAH,4500
2005,WASHINGTON,49000
2005,WISCONSIN,5700
2005,WYOMING,34000
2004,CALIFORNIA,60000
2004,COLORADO,67000
2004,IDAHO,80000
2004,KANSAS,9000
2004,MICHIGAN,190000
2004,MINNESOTA,115000
2004,MONTANA,13000
2004,NEBRASKA,120000
2004,NEW MEXICO,6000
2004,NEW YORK,24000
2004,NORTH DAKOTA,560000
2004,OREGON,8000
2004,SOUTH DAKOTA,9000
2004,TEXAS,20000
2004,UTAH,5300
2004,WASHINGTON,30000
2004,WISCONSIN,5000
2004,WYOMING,25000
2003,CALIFORNIA,77000
2003,COLORADO,80000
2003,IDAHO,75000
2003,KANSAS,12000
2003,MICHIGAN,170000
2003,MINNESOTA,115000
2003,MONTANA,13000
2003,NEBRASKA,155000
2003,NEW MEXICO,10000
2003,NEW YORK,25000
2003,NORTH DAKOTA,540000
2003,OREGON,7000
2003,SOUTH DAKOTA,8000
2003,TEXAS,50000
2003,UTAH,5600
2003,WASHINGTON,27500
2003,WISCONSIN,6000
2003,WYOMING,30000
2002,CALIFORNIA,92000
2002,COLORADO,92000
2002,IDAHO,95000
2002,KANSAS,21000
2002,MICHIGAN,270000
2002,MINNESOTA,170000
2002,MONTANA,26900
2002,NEBRASKA,185000
2002,NEW MEXICO,8500
2002,NEW YORK,25000
2002,NORTH DAKOTA,790000
2002,OREGON,9800
2002,SOUTH DAKOTA,21000
2002,TEXAS,37500
2002,UTAH,1800
2002,WASHINGTON,44500
2002,WISCONSIN,7700
2002,WYOMING,32000
2001,CALIFORNIA,88000
2001,COLORADO,115000
2001,IDAHO,75000
2001,KANSAS,16000
2001,MICHIGAN,215000
2001,MINNESOTA,115000
2001,MONTANA,43500
2001,NEBRASKA,160000
2001,NEW MEXICO,15000
2001,NEW YORK,23000
2001,NORTH DAKOTA,440000
2001,OREGON,10000
2001,SOUTH DAKOTA,18000
2001,TEXAS,30000
2001,UTAH,6100
2001,WASHINGTON,34000
2001,WISCONSIN,6800
2001,WYOMING,27000
2000,CALIFORNIA,115000
2000,COLORADO,120000
2000,IDAHO,90000
2000,KANSAS,18000
2000,MICHIGAN,285000
2000,MINNESOTA,165000
2000,MONTANA,44000
2000,NEBRASKA,165000
2000,NEW MEXICO,6000
2000,NEW YORK,25000
2000,NORTH DAKOTA,610000
2000,OREGON,12000
2000,SOUTH DAKOTA,11000
2000,TEXAS,20000
2000,UTAH,5400
2000,WASHINGTON,32000
2000,WISCONSIN,8300
2000,WYOMING,36000
1999,CALIFORNIA,135000
1999,COLORADO,155000
1999,IDAHO,105000
1999,KANSAS,22000
1999,MICHIGAN,350000
1999,MINNESOTA,205000
1999,MONTANA,30000
1999,NEBRASKA,210000
1999,NEW MEXICO,2000
1999,NEW YORK,31000
1999,NORTH DAKOTA,630000
1999,OREGON,11500
1999,TEXAS,50000
1999,UTAH,6700
1999,WASHINGTON,36000
1999,WISCONSIN,8300
1999,WYOMING,40000
1998,CALIFORNIA,110000
1998,COLORADO,170000
1998,IDAHO,105000
1998,KANSAS,20000
1998,MICHIGAN,300000
1998,MINNESOTA,190000
1998,MONTANA,16600
1998,NEBRASKA,195000
1998,NEW MEXICO,10500
1998,NEW YORK,31000
1998,NORTH DAKOTA,750000
1998,OREGON,8700
1998,TEXAS,15000
1998,UTAH,6000
1998,WASHINGTON,40000
1998,WISCONSIN,7300
1998,WYOMING,39000
1997,CALIFORNIA,135000
1997,COLORADO,135000
1997,IDAHO,100000
1997,KANSAS,22000
1997,MICHIGAN,315000
1997,MINNESOTA,175000
1997,MONTANA,12200
1997,NEBRASKA,190000
1997,NEW MEXICO,12000
1997,NEW YORK,44000
1997,NORTH DAKOTA,620000
1997,OREGON,9000
1997,TEXAS,15000
1997,UTAH,5800
1997,WASHINGTON,38000
1997,WISCONSIN,9800
1997,WYOMING,32000
1996,CALIFORNIA,128000
1996,COLORADO,145000
1996,IDAHO,95000
1996,KANSAS,28000
1996,MICHIGAN,340000
1996,MINNESOTA,160000
1996,MONTANA,10500
1996,NEBRASKA,205000
1996,NEW MEXICO,12000
1996,NEW YORK,30000
1996,NORTH DAKOTA,580000
1996,OREGON,9200
1996,TEXAS,13000
1996,UTAH,5000
1996,WASHINGTON,37000
1996,WISCONSIN,9300
1996,WYOMING,32000
1995,CALIFORNIA,145000
1995,COLORADO,190000
1995,IDAHO,110000
1995,KANSAS,34000
1995,MICHIGAN,390000
1995,MINNESOTA,190000
1995,MONTANA,11000
1995,NEBRASKA,225000
1995,NEW MEXICO,12500
1995,NEW YORK,34000
1995,NORTH DAKOTA,600000
1995,OREGON,10200
1995,TEXAS,25000
1995,UTAH,7300
1995,WASHINGTON,41000
1995,WISCONSIN,10300
1995,WYOMING,31000
1994,CALIFORNIA,136000
1994,COLORADO,205000
1994,IDAHO,140000
1994,KANSAS,34000
1994,MICHIGAN,390000
1994,MINNESOTA,135000
1994,MONTANA,10200
1994,NEBRASKA,200000
1994,NEW MEXICO,12500
1994,NEW YORK,39000
1994,NORTH DAKOTA,570000
1994,OREGON,10200
1994,TEXAS,30000
1994,UTAH,6500
1994,WASHINGTON,40000
1994,WISCONSIN,11400
1994,WYOMING,42000
1993,CALIFORNIA,109000
1993,COLORADO,205000
1993,IDAHO,125000
1993,KANSAS,29000
1993,MICHIGAN,390000
1993,MINNESOTA,110000
1993,MONTANA,12000
1993,NEBRASKA,190000
1993,NEW MEXICO,14000
1993,NEW YORK,37000
1993,NORTH DAKOTA,510000
1993,OREGON,9000
1993,TEXAS,30000
1993,UTAH,6400
1993,WASHINGTON,43000
1993,WISCONSIN,10500
1993,WYOMING,38000
1992,CALIFORNIA,121000
1992,COLORADO,164000
1992,IDAHO,90000
1992,KANSAS,26000
1992,MICHIGAN,350000
1992,MINNESOTA,100000
1992,MONTANA,10200
1992,NEBRASKA,165000
1992,NEW MEXICO,13000
1992,NEW YORK,35000
1992,NORTH DAKOTA,440000
1992,OREGON,6100
1992,TEXAS,35000
1992,UTAH,6000
1992,WASHINGTON,36000
1992,WISCONSIN,9300
1992,WYOMING,34000
1991,CALIFORNIA,153000
1991,COLORADO,190000
1991,IDAHO,145000
1991,KANSAS,34000
1991,MICHIGAN,370000
1991,MINNESOTA,125000
1991,MONTANA,9000
1991,NEBRASKA,215000
1991,NEW MEXICO,13000
1991,NEW YORK,36000
1991,NORTH DAKOTA,520000
1991,OREGON,7100
1991,TEXAS,38000
1991,UTAH,6000
1991,WASHINGTON,50000
1991,WISCONSIN,11000
1991,WYOMING,42000
1990,CALIFORNIA,175000
1990,COLORADO,245000
1990,IDAHO,180000
1990,KANSAS,40000
1990,MICHIGAN,350000
1990,MINNESOTA,140000
1990,MONTANA,13500
1990,NEBRASKA,260000
1990,NEW MEXICO,14500
1990,NEW YORK,41000
1990,NORTH DAKOTA,570000
1990,OREGON,9100
1990,TEXAS,25000
1990,UTAH,5500
1990,WASHINGTON,48000
1990,WISCONSIN,11000
1990,WYOMING,50000
2021,CALIFORNIA,18100
2021,COLORADO,33000
2021,IDAHO,143000
2021,MICHIGAN,210000
2021,MINNESOTA,240000
2021,MONTANA,172000
2021,NEBRASKA,120000
2021,NORTH DAKOTA,681200
2021,OTHER STATES,0
2021,WASHINGTON,141000
2021,WYOMING,17000
2020,CALIFORNIA,37300
2020,COLORADO,58000
2020,IDAHO,129100
2020,MICHIGAN,260000
2020,MINNESOTA,275000
2020,MONTANA,116300
2020,NEBRASKA,165000
2020,NORTH DAKOTA,827400
2020,OTHER STATES,76800
2020,WASHINGTON,112700
2020,WYOMING,29000
2019,CALIFORNIA,41300
2019,COLORADO,37000
2019,IDAHO,135000
2019,MICHIGAN,185000
2019,MINNESOTA,210300
2019,MONTANA,199000
2019,NEBRASKA,120100
2019,NORTH DAKOTA,657500
2019,WASHINGTON,138000
2019,WYOMING,21000
