Year,State,CottonAcres
1994,NEW MEXICO,66000
1994,NORTH CAROLINA,486000
1994,OKLAHOMA,360000
1994,SOUTH CAROLINA,225000
1994,TENNESSEE,590000
1994,TEXAS,5478500
1994,VIRGINIA,42200
1993,ALABAMA,443000
1993,ARIZONA,373000
1993,ARKANSAS,990000
1993,CALIFORNIA,1141000
1993,FLORIDA,54000
1993,GEORGIA,615000
1993,KANSAS,1600
1993,LOUISIANA,890000
1993,MISSISSIPPI,1330000
1993,MISSOURI,345000
1993,NEW MEXICO,64500
1993,NORTH CAROLINA,390000
1993,OKLAHOMA,370000
1993,SOUTH CAROLINA,202000
1993,TENNESSEE,625000
1993,TEXAS,5581000
1993,VIRGINIA,23200
1992,ALABAMA,415000
1992,ARIZONA,428000
1992,ARKANSAS,1000000
1992,CALIFORNIA,1110000
1992,FLORIDA,50000
1992,GEORGIA,460000
1992,KANSAS,2500
1992,LOUISIANA,890000
1992,MISSISSIPPI,1350400
1992,MISSOURI,335000
1992,NEW MEXICO,68000
1992,NORTH CAROLINA,380000
1992,OKLAHOMA,370000
1992,SOUTH CAROLINA,197000
1992,TENNESSEE,625000
1992,TEXAS,5537000
1992,VIRGINIA,22100
1991,ALABAMA,410000
1991,ARIZONA,466000
1991,ARKANSAS,1000000
1991,CALIFORNIA,1044000
1991,FLORIDA,50000
1991,GEORGIA,430000
1991,KANSAS,2000
1991,LOUISIANA,875000
1991,MISSISSIPPI,1245800
1991,MISSOURI,332000
1991,NEW MEXICO,88600
1991,NORTH CAROLINA,460000
1991,OKLAHOMA,440000
1991,SOUTH CAROLINA,211000
1991,TENNESSEE,620000
1991,TEXAS,6360000
1991,VIRGINIA,17700
1990,ALABAMA,380000
1990,ARIZONA,475000
1990,ARKANSAS,770000
1990,CALIFORNIA,1125700
1990,FLORIDA,37000
1990,GEORGIA,355000
1990,KANSAS,1500
1990,LOUISIANA,810000
1990,MISSISSIPPI,1231300
1990,MISSOURI,248000
1990,NEW MEXICO,88300
1990,NORTH CAROLINA,201000
1990,OKLAHOMA,380000
1990,SOUTH CAROLINA,155000
1990,TENNESSEE,525000
1990,TEXAS,5560000
1990,VIRGINIA,5300
